"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.61912","97.21595","94.33551","94.75524","90.15509","90.5599","88.19797","93.12736","95.58824","95.13303","96.30607","94.72278","","","","",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","16.60984","","","17.18067","18.84355","","26.34265","32.73786","13.29607","","18.12719","18.92117","","","","","","","","28.77245","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","49.04326","43.4278","","","","","","","","","34.18909","","","","","","","","","","","","","","","","","46.04698","45.5211","46.75689","54.31714","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.57201","","","","94.42868","96.28535","","96.7474","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","49.1170234680176","48.675666809082","50.1422996520996","51.5739936828613","54.4662399291992","56.0543746948242","58.1393203735352","57.5615158081055","53.4919815063477","56.5760459899902","60.0314559936523","60.8333587646484","62.0524597167969","64.421028137207","68.4880218505859","67.5982208251953","67.5003356933594","68.0643310546875","68.3631286621094","69.7628173828125","69.8115539550781","70.5989456176758","70.8504791259766","71.715461730957","72.8024139404297","73.9887008666992","75.0407333374023","76.2731246948242","77.4584121704102","77.1727752685547","78.4131851196289","79.3415298461914","81.8777694702148","83.8268661499023","84.7530975341797","82.7321472167969","84.3638610839844","86.3349533081055","84.642463684082","86.3650360107422","86.8764190673828","89.2444763183594","","",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","40.45629","43.17006","51.19001","58.13844","61.79811","66.61757","68.87737","73.01714","82.94843","82.90331","80.51374","76.99176","78.69803","78.36634","76.14954","83.38665","92.18194","98.76846","97.0949","94.4498","92.95627","90.8614","87.32442","91.01376","89.61562","89.15687","","","","87.39592","90.28262","92.2622","92.04067","93.79527","","94.74884","101.31865","107.00337","110.62501","","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.65958","71.4761","","","75.35944","78.87078","78.66375","","","","","","","","","","","","","","","","","","98.50202","","93.60851","92.30606","100.47673","99.07881","99.03912","98.77267","102.89534","101.00408","99.82387","97.88862","100.02921","102.67134","105.8217","106.02903","107.30514","109.33774","","","",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.99224","","","95.49757","","","","","93.72541","89.42832","100.07518","92.08175","92.21211","98.60548","100.09507","","","","","","",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","82.93413","82.25236","","","","","","","","","","","","","","","","96.68756","","","","","","","","","","","","","","","","102.50941","95.48589","102.32412","99.74732","","","",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","95.50457","96.56024","96.03997","","","","","","","","","","","","","","","","","","","","","","","","","101.31479","101.26707","","","99.28205","99.87455","97.69712","97.82478","99.98471","102.50034","100.25714","98.85213","98.61473","97.18986","97.18944","","",
"Azerbaijan","AZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.79738","91.23845","89.76319","81.62099","98.98181","95.16493","92.1731","89.51351","95.16858","97.58601","92.69615","95.59543","93.43062","91.60543","98.13037","90.73683","91.77172","89.51445","92.80683","91.98033","","",
"Burundi","BDI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","5.82047","","10.83886","10.97719","11.66855","10.9273","11.21865","11.31171","11.50435","11.7565","12.09484","14.47374","19.7232","27.01385","28.14703","29.09166","28.51232","39.07868","32.98383","40.56657","44.81149","47.70132","50.75219","","","","","","","23.85534","24.33372","24.84317","29.29026","31.57389","33.8224","","38.4741","41.30912","47.83947","50.83358","55.53574","62.17888","","",
"Belgium","BEL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","67.66882","69.62288","70.78346","73.01041","75.39482","69.08354","69.37934","75.74354","78.08959","72.74396","76.18354","74.3509","72.97371","71.97446","73.49022","","","79.10641","","","","","","","","","","","","","","","85.9109","86.09036","86.74183","88.52062","90.60693","91.22296","89.96686","","",
"Benin","BEN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","18.04854","21.07967","21.51077","20.349","24.92766","24.83406","24.23805","26.38204","27.7284","29.58871","30.71823","33.16653","35.92029","29.36138","33.2863","30.36452","29.35956","27.09182","26.81138","18.65396","21.21468","21.47605","23.57146","25.4791","29.92718","32.01722","34.38386","37.07059","","37.26439","40.99202","43.03329","47.2277","50.82491","","","","61.98986","","64.83989","69.52506","70.5206","","",
